2011-02-18 02:49:20 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:49:36 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:49:38 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:49:54 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:51:04 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:51:15 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:52:08 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:56:27 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:56:39 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:56:47 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:57:22 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:57:31 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:57:39 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:57:45 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:58:07 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:58:12 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:58:21 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:58:55 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:59:02 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 02:59:16 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 03:00:05 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 03:00:27 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
2011-02-18 03:00:42 Debug: Notice (8): Undefined property: ThemeView::$Paginator in [D:\xampp\htdocs\robproject\Correzioni\views\search_items\index.ctp, line 4]
